Tipo|Medio General|Medio Específico|Título|Resumen|Fecha Emisión|Valorización|Cm2|Duración|Página|Personajes|Candidatos 2016|Tono|Mes Emisión
Televisión|Canal ATV Plus|Hora Clave|Entrevista al analista político Eugenio D'Medina (ATV+)|Entrevista. El analista político Eugenio D'Medina comentó sobre la coyuntura política. En ese sentido, señaló que a Alan García no le suma mucho la alianza con el PPC. De otro lado, indicó que la presencia de Mercedes Aráoz en la plancha presidencial de Pedro Pablo Kuczynski no le añade algo distinto. Sobre el fujimorismo, consideró que hay un entorno dentro de Fuerza Popular que está manipulando a Keiko Fujimori. En cuanto a César Acuña, sostuvo que de todos los candidatos es el que más deseos tiene de ganar, y eso lo hace un candidato muy potente. Añadió que en un país con mucho analfabetismo, acusarlo de no saber leer le favorece. De Daniel Urresti opinó que es el candidato enviado para ensuciar la campaña, y lo comparó como un “perro callejero enfermo con la rabia”. En otro momento, refirió que Alejandro Toledo puede ser sobrepasado muy pronto por Verónika Mendoza o Ántero Flores-Aráoz. Finalmente, pidió que algunos de los candidatos ponga en agenda el tipo de Poder Judicial que necesitamos.|18/12/2015|7160||1432||Eugenio D´Medina Lora|Ántero Flores-Aráoz Esparza|Neutro|2015-12
Medio Impreso|El Comercio|El Comercio Cuerpo A|Las fórmulas del 2016 - Hugo Guerra|Quisiera celebrar el advenimiento del nuevo año con optimismo, pero cuando analizo la política nacional solo puedo avizorar el 2016 con recelo. La campaña electoral, hasta este punto, es un desastre , con pocas excepciones. La falta de consistencia ideológica , organización y trayectoria de la mayor parte de instituciones participantes (increíblemente 19 fórmulas) ratifica que prácticamente carecemos de partidos políticos , pero abundan los clubes electorales oportunistas que se aprestan no a tomar el poder , sino a asaltar el Estado. (...) Así, solo quedan tres opciones razonables: PPK ofrece una alternativa interesante y viable, pese a la presencia de gente de tercer nivel en su lista. Keiko Fujimori es también atendible porque, aunque cueste decirlo, ella no es lo mismo que su corrupto padre.|28/12/2015|2981.55|325.64|0|16|Hugo Guerra Arteaga|Ántero Flores-Aráoz Esparza|Negativo|2015-12
Web|El Comercio|elcomercio.pe|Las fórmulas del 2016 - Hugo Guerra|En cuanto a Alfredo Barnechea, es mucho candidato para un partido querido pero maltratado como Acción Popular. Los demás postulantes pequeños, Ántero Flores-Aráoz, Renzo Reggiardo y Julio Guzmán quizá en el 2021 sean una opción...Así, solo quedan tres opciones razonables: PPK ofrece una alternativa interesante y viable, pese a la presencia de gente de tercer nivel en su lista. Keiko Fujimori es también atendible porque, aunque cueste decirlo, ella no es lo mismo que su corrupto padre. Además, cuenta con el apoyo de un hombre muy valioso como José Chlimper, aunque la participación de Vladimiro Huaroc es absurda, lo mismo que el maltrato a personalidades como Martha Chávez.|28/12/2015|5994.53||0||Hugo Guerra Arteaga|Ántero Flores-Aráoz Esparza|Negativo|2015-12
Web|Perú.com|peru.com|Susana Villarán sí participará en elecciones contra el fujimorismo|La exalcaldesa de Lima Susana Villarán, a través de su cuenta de Facebook, anunció que participará en las Elecciones 2016 , a pesar que dijo en reiteradas oportunidades que no lo haría.. “Seguiré conversando con líderes políticos para unir esfuerzos y evitar que el fujimontesinismo regrese, ahora encarnado en Keiko. Lo he hecho hasta hoy con César Acuña, con PPK, con Alfredo Barnechea, con Antero Flores Araoz, con Yehude Simon, con muchos líderes y lideresas de base de las izquierdas en el país. Hoy lo haré con Julio Guzmán”, continuó su anunció.|12/12/2015|1975.45||0||Susana María del Carmen Villarán de la Puente|Ántero Flores-Aráoz Esparza|Neutro|2015-12
Medio Impreso|Perú 21|Perú 21|Enanitos verdes - Juan José Garrido|A diferencia de elecciones pasadas, estas traen a un pelotón “visible” de candidatos y a uno “invisible”, esos candidatos enanos que se encuentran cerca o por debajo del 1%. Hay de todo tipo, como en botica: conocidos y desconocidos, liberales y progresistas, viejos y jóvenes, y así. De estos candidatos enanos, la única que ha mejorado sustancialmente en los últimos meses es Verónika Mendoza, quien ha pasado del 0.4% de octubre al 2% en diciembre. Aunque difícil, si continúa la tendencia podría pasar la valla; no sería poco para ella, y tampoco para su bancada (¡ya podemos imaginar la algarabía de los antimineros con bancada propia el 2016!). Otro que ha crecido es Ántero Flores-Aráoz: pasó del 0.5% en octubre al 1% en diciembre.|12/12/2015|1705.03|199.87|0|4|Juan José Garrido|Ántero Flores-Aráoz Esparza|Neutro|2015-12
Web|Capital|capital.com.pe|Susana Villarán participará en las elecciones 2016|La exalcaldesa de Lima Susana Villarán anunció su participación en las elecciones generales del 2016, con el objetivo de evitar que el fujimorismo regrese al poder. (...) Villarán adelantó que aún evalúa con qué partido participará en los comicios del próximo año, pero admite haberse reunido con líderes como César Acuña, Pedro Pablo Kuczynski, Ántero Flores Aráoz, Yehude Simon y Alfredo Barrenechea.|12/12/2015|54.41||0||Susana María del Carmen Villarán de la Puente|Ántero Flores-Aráoz Esparza|Neutro|2015-12
Televisión|Canal N|N Noticias|Susana Villarán anunció que participará en las próximas elecciones (Canal N)|La exalcaldesa Susana Villarán anunció a través de su cuenta de Facebook que hará todo lo que esté en sus manos para evitar que el fujimorismo regrese al gobierno. Aseveró que seguirá conversando con líderes políticos para unir esfuerzos a fin de evitar que el fujimorismo regrese, ahora encarnado en Keiko Fujimori. Reveló que ha dialogado con César Acuña, Pedro Pablo Kuczynski, Alfredo Barnechea, Ántero Flores-Aráoz entre otros. Señaló que ha tomado la decisión de participar en las próximas elecciones. Mediante un enlace telefónico, Marco Tulio Gutiérrez sostuvo que esta es la segunda vez que Villarán incumple su palabra.|12/12/2015|9114||651||Susana María del Carmen Villarán de la Puente|Ántero Flores-Aráoz Esparza|Neutro|2015-12
Web|La República|larepublica.pe|Susana Villarán confirma que participará en elecciones del 2016|A través de su cuenta Facebook, la exalcaldesa de Lima Susana Villarán anunció su participación en las elecciones generales del 2016, con lo cual manifiesta un cambio de opinión. ¿Por qué? Ella cuenta que el peligro de que el fujimorismo vuelva al poder la llevó a tomar esta decisión.. Villarán de la Puente no precisa con qué partido político participará en los comicios, no dijo si será como candidata a la presidencia o al Congreso de la República, pero menciona haberse reunido con líderes como César Acuña, Pedro Pablo Kuczynski, Ántero Flores Aráoz, Yehude Simon y Alfredo Barrenechea..|12/12/2015|1014.43||0||Susana María del Carmen Villarán de la Puente|Ántero Flores-Aráoz Esparza|Neutro|2015-12
Web|Correo|diariocorreo.pe|?Susana Villarán anuncia participación en elecciones 2016|Tras haber renunciado a las filas de Fuerza Social, la exalcaldesa de Lima, Susana Villarán, anunció a través de las redes sociales que participará en las elecciones del 2016, aunque no dijo con qué agrupación política irá. (...) Afirmó que ya ha tenido conversaciones con diferentes líderes políticos, tales como César Acuña, PPK, Ántero Flores Aráoz, entre otros. ""Algunos de mis interlocutores en estas conversaciones me han invitado a acompañarlos con generosidad que agradezco sinceramente. Cuando tome definitivamente esa decisión se los haré saber"", remarcó.|12/12/2015|702.1||0||Susana María del Carmen Villarán de la Puente|Ántero Flores-Aráoz Esparza|Neutro|2015-12
Medio Impreso|Correo|Correo|APRA negocia alianzas con partidos de Renzo Reggiardo y Flores-Aráoz|A una semana para que culmine el plazo para la inscripción de alianzas electorales, el APRA empezó a pisar el acelerador en sus negociaciones con otros partidos políticos. Al respecto. el congresista Mauricio Mulder informó que su agrupación ""está avanzando'' en las conversaciones con Vamos Perú. cuyo lideres el actual alcalde del Callao, Juan Sotomayor . (...) ""Yo soy una alternativa (de candidato) pero preferimos nosotros. por la premura del tiempo, ir en alianza. Nosotros tenemos propuestas del APRA. PPK y Acuña. Todos quieren a Solidaridad por lo que representa en Lima, pero este lunes tendremos la decisión"", afirmó a Correo.|04/12/2015|3796.9|397.81|0|6|Claude Maurice Mulder Bedoya|Ántero Flores-Aráoz Esparza|Neutro|2015-12
