Tipo|Medio General|Medio Específico|Título|Resumen|Fecha Emisión|Valorización|Cm2|Duración|Página|Personajes|Candidatos 2016|Tono|Mes Emisión
Televisión|RBC Satelital|Habla el Pueblo|La voz del pueblo, es la voz de Dios (Canal 11)|Entrevista. El director de la encuestadora CIT Perú, José Manuel Saavedra, presentó los resultados de la última encuesta que realizó CIT. Sobre la pregunta, por quién es el candidato que más a hecho por el Perú, el primer lugar obtiene Alan García con 16,8%, seguido por Ricardo Belmont con 13,5% y en tercera ubicación aparece PPK con 11%. La encuesta también revela que Renzo Reggiardo obtiene el mayor porcentaje en cuanto a honestidad con 17.8% , seguido por Ricardo Belmont con 15.6% y Francisco Diez Canseco con 12%. Mientras que PPK queda en quinto lugar con 5%. En tanto Keiko Fujimori y César Acuña obtendrían 2%. Luego, Saavedra apuntó que posterior al discurso del CADE y luego de las denuncias por violencia familiar, César Acuña registró un bajón de 4 puntos en las encuestas solo en Lima. Además, en cuento a la intensión de voto, Keiko Fujimori sigue liderando con 34.8%, seguida por PPK con 17.8%, dejando con 8% al líder del Apra, Alan García y la cuarta ubicación a César Acuña con 5,8%.|16/12/2015|5033.12||1516||José Manuel Saavedra Molina|Ricardo Belmont Cassinelli|Neutro|2015-12
Medio Impreso|La República|La República|Perú Wars: El Despertar a la Fuerza - Marco Sifuentes|¿Ya pasaron las náuseas, Perú? ¿O todavía seguimos contemplando con estupor ese chocolateo de lealtades, ese festival de traiciones, esa radiografía del subdesarrollo también conocida como la lista de las 17 planchas de candidatos a la presidencia y vicepresidencia de nuestro país? Más allá del gravol, veamos algunas conclusiones en borrador. –Algo inédito: hasta los pitufos son parte del elenco estable. No hay (casi) pitufos desconocidos. Belmont, Yehude, Nano, Ántero, Goyo, Barnechea o Urresti son personajes que tranquilamente podrían obtener 2%. No les serviría, por supuesto, para pasar la valla del 5%. Así, la mayor amenaza para Keiko Fujimori, en la primera vuelta, no se encuentra en ninguno de los otros 16 candidatos. Estos saben que 1) no tienen forma de desplazarla y 2) les convendría más jugar a ser el mal menor ante Keiko en la segunda vuelta.|23/12/2015|2452.21|292.79|0|5|Marcos Sifuentes|Ricardo Belmont Cassinelli|Neutro|2015-12
Medio Impreso|Exitosa|Exitosa Diario|Ricardo Belmont sale al ruedo electoral|El exalcalde de Lima, Ricardo Belmont Cassinelli, presentará mañana su candidatura presidencial en el distrito de Los Olivos, en una actividad que ha sido denominada como la ""Gran fiesta de la hermandad"".En diálogo con Exitosa, el vocero de la agrupación de Belmont Cassinelli, Harold ANa, adelantó que en dicho mitin se presentará a las personas que integrarán la plancha presidencial del conocido como ’Hermanón’: Iván Dibós, exjefe del Instituto Peruano del Deporte (IPD), y Mareos lbazeta, expresidente de la Sala Penal Antiterrorismo.|11/12/2015|1308.3|175.13|0|6|Harold Alva|Ricardo Belmont Cassinelli|Positivo|2015-12
Televisión|RBC Satelital|Habla el Pueblo|Entrevista a Electo Ceballos en el 29 Aniversario de RBC (Canal 11)|Entrevista. Electo Ceballos, comentó que Ricardo Belmont Cassinelli es un luchador que no se deja avasallar. De otro lado, refirió que el par de aventureros que gobiernan han destrozado al país, dejando las exportaciones por los suelos y se han quemado 25 mil millones de dólares. Además, comentó que es una vergüenza que el gas de Camisea se vende en otros países más barato que en el Perú.|22/12/2015|1620.16||488||Electo Ceballos|Ricardo Belmont Cassinelli|Positivo|2015-12
Web|Perú 21|peru21.pe|Alfredo Ferrero: La danza de las alianzas|(...) Acuña incorporó como aliados electorales a algunos movimientos regionales y Somos Perú (Andrade). El PPC (en crisis) viene coqueteando con el Apra hace tiempo: Alan y Lourdes bailando marinera y lanzándose piropos. Parece que Lourdes irá a la vicepresidencia, podrían ser un cogobierno. Alan perdió a Kouri (Chim Pum Callao) en este juego de alianzas. Creo que el Apra y el PPC pueden complementarse bien. ¿Alcanzará?..Varios van solos. Los que tienen opción de pasar a segunda vuelta son Keiko y PPK. Keiko viene trabajando con jóvenes profesionales, nuevos en política, tratando de darle otra cara a su movimiento, pero la experiencia en política también es valiosa, la mixtura es lo ideal. PPK, tras su experiencia de alianza con Acuña, Yehude y PPC, ha preferido fortalecer su partido.|17/12/2015|1874.83|605.58|0||Alfredo Ferrero Diez-Canseco|Ricardo Belmont Cassinelli|Neutro|2015-12
Medio Impreso|Perú 21|Perú 21|¡Con mocha, Maserati en tu trucha! - Aldo Mariátegui|Tras haber visto estos acomodos increíbles en las planchas, propongo que Mocha García Naranjo se alíe con el Frepap de Ezequiel Ataucusi y juntos lancen el partido ""Maserati"", que lleve como símbolo electoral a este bólido y como eslogan ""iVota por Mocha si quieres un Maserati en tu trocha!"": Si Mocha no ingresa a la política, no quedará más camino que votar por el""hermanón"" Belmont a la presidencia y Villarán con Abugattás para el Congreso.(...) Seguimos con un ingenuo alcalde que cree que estamos en Holanda y se pierde en lo insustancial de ferias ecopitucas, calles cerradas y ciclovias obstruccionistas que ni se usan y tetudeces por ese estilo ¿Por qué no lo mudamos a Muñoz Wells a un domicilio en San Isidro y lo elegimos alcalde aquí cuando acabe su mandato en Miraflores, donde ya no puede tentar otro período? Mala idea no seria.|25/12/2015|1863.17|177.1|0|11|Aldo Mariátegui Bosse|Ricardo Belmont Cassinelli|Neutro|2015-12
Web|Correo|diariocorreo.pe|Interesantes preguntas y partido maquillado - Luis Alfonso Morey|La reciente encuesta de CIT Opinión y Mercado publicada ayer revela que frente a la pregunta sobre qué candidato presidencial es el más honesto, los primeros lugares los ocupan Renzo Reggiardo y Ricardo Belmont, mientras que los últimos lugares los ocupan Keiko Fujimori, César Acuña, Alan García y Alejandro Toledo. Frente a la pregunta sobre qué candidato presidencial es el que más ha hecho por el Perú, las respuestas colocan en los primeros lugares a Alan García y a Ricardo Belmont, en tanto que en los últimos puestos aparecen Keiko Fujimori, Renzo Reggiardo, César Acuña y Verónika Mendoza.|17/12/2015|702.1||0||Luis Alfonso Morey|Ricardo Belmont Cassinelli|Neutro|2015-12
Televisión|RBC Satelital|Habla el Pueblo|Entrevista a Iván Dibós en el 29 Aniversario de RBC (Canal 11)|Entrevista. Iván Dibós, candidato a la primera vicepresidencia por Siempre Unidos, recordó la historia del canal RBC que se fundó en 1986. Además, indicó que Ricardo Belmont fue un buen alcalde la Municipalidad de Lima, en cuyo gobierno batió en ejecución de obras.|22/12/2015|1377.8||415||Iván Dibos|Ricardo Belmont Cassinelli|Positivo|2015-12
Medio Impreso|Perú 21|Perú 21|Por favor, desconectar - Beto Ortiz|Hoy, sin embargo, como me tocaba escribir, sucumbí a la tentación, rompí el ayuno y me metí a curiosear qué había pasado en mi país en tan prolongada ausencia. (...) Me encontré con que sujetos de la catadura del nefasto Popy Olivera, el matacabros Ricardo Belmont y el tirapiedra Goyo Santos inscribieron sus candidaturas presidenciales. Con que la reina de las malaguas Susana Villarán es ahora la vice de Urresti, con que la suprema arribista Anel Townsend logró trepar hasta vice de Acuña y la regia de regias, la tremenda jueza Carolina Lizárraga, es la nueva amiwi de Forever Alone Guzmán. (...) Ya se sabe que la Constitución establece que cualquier huevada puede postular, pero tampoco se maleen así, por mi madre-.Qué papelón. Que el siniestro ministro de Justicia del Cholo Sagrado, el inenarrable Olivera, la haya librado después de sus archiconocidas tropelías y conspiraciones contra Beatriz Merino, contra Cipriani y contra medio Perú, que hayan pasado piolaza sus nunca investigadas movidas “empresariales” cuando era embajador en España , vaya y pase.|27/12/2015|7873.74|748.68|0|11|Humberto Martín Ortiz Pajuelo|Ricardo Belmont Cassinelli|Negativo|2015-12
Televisión|RBC Satelital|Boca a Boca|Comentarios de Luis Alfonso Morey sobre actualidad política (Canal 11)|Luis Alfonso Morey, conductor del programa “Boca a Boca”, presentó un video grabado mediante un drone del “muro de la vergüenza” que divide a ricos y pobres en el sur de Lima Metropolitana. Además, presentó “memes” sobre la candidata presidencial Keiko Fujimori y partes de una encuesta en la que Ricardo Belmont es percibido como el segundo más honesto y el segundo que más ha hecho por el Perú. Finalmente, mencionó que se ha creado una aplicación para “bloquear” la candidatura presidencial promovida por Gonzalo Aguirre y Fernando Belmont, quien es dueño de Unique y Yanbal.|16/12/2015|1291.48||389||Luis Alfonso Morey|Ricardo Belmont Cassinelli|Positivo|2015-12
