Tipo|Medio General|Medio Específico|Título|Resumen|Fecha Emisión|Valorización|Cm2|Duración|Página|Personajes|Candidatos 2016|Tono|Mes Emisión
Web|Perú 21|peru21.pe|Cuentistas al 2016 - Juan José Garrido|A la Sra. Anel Townsend le parece suficiente la palabra del Sr. César Acuña. No interesa que existan denuncias –varias– interpuestas por la Sra. Rosa Núñez (ex esposa y madre de tres de los hijos del Sr. Acuña), todas documentadas según su testimonio. Tampoco le interesa que el Sr. Acuña tuvo un hijo con una menor de edad mientras estudiaba en su academia; existió una denuncia de violación sexual, fue retirada, y eso es lo que sabemos. La Sra. Townsend fue ministra de la Mujer, pero, para ella, el interés corre por otro lado.|14/12/2015|1874.83||0||Juan José Garrido|César Acuña Peralta|Negativo|2015-12
Televisión|América TV|Primera Edición|Presidente del JNE: Humala debe respetar el principio de neutralidad electoral (Canal 4)|El titular del Jurado Nacional de Elecciones, Francisco Távara, sostuvo que el presidente Ollanta Humala tiene la obligación de dar el ejemplo respetando el principio de neutralidad electoral. Esto en referencia a los cuestionamientos que realizó el jefe de Estado contra los exmandatarios Alan García y Alejandro Toledo. De otro lado, el funcionario exhortó al Jurado Electoral Especial que absuelva a la brevedad el caso de César Acuña y José Luna Gálvez acusados de usar sus universidades para hacer campaña electoral. Además, pidió a la Sunedu pronunciarse sobre el uso de paneles publicitarios en dichas universidades. También, recordó que el partido de César Acuña es el que más adeuda por violación a las normas electorales. De otro lado, Távara aseguró que hasta el momento no existe ninguna denuncia sobre el color usado por la Municipalidad de Lima en las rejas de malecón de la Costa Verde.|30/12/2015|21632.8||140||Francisco Artemio Távara Córdova|César Acuña Peralta|Negativo|2015-12
Medio Impreso|Exitosa|Exitosa Diario|""No habrá gran transferencia de votos desde el PPC a Alan""|Entrevista a analista político Luis Benavente. - ¿En el caso de Alianza para el Progreso, de César Acuña, ha terminado por aliarse con Somos Perú. /, También se juntan para pasar la valla? Creo que es lo mismo que en el caso del PPC, pues también quieren tener presencia congresal, pero la diferencia con los pepecistas es que Somos Perú no tienen problemas de división. No creo que un representante de Somos Perú integre la plancha presidencial de Acuña, quien es un grande que suma a un pequeño. Acuña está comenzando a generar una expansión centrífuga; se sabe que los partidos nacionales suman votos de regiones y en su caso es al revés. (...) - En el caso de Solidaridad Nacional, parece que han decidido irse con una fujimorista, Luisa María Cuculiza.. Aparentemente han sido ninguneados por PPK. (...) ¿Cómo ve el hecho que personajes progresistas como Vladimiro Huaroc, Anel Townsend y, al parecer, Susana Villarán vayan sumarse a Keiko y Acuña, quienes son vinculados con hechos de corrupción? Es que la izquierda está muy dividida, solo queda una pequeña unidad representada en Verónika Mendoza y que no incluye al sector de Villarán, Nano Guerra, entre otros.|13/12/2015|5756.52|770.67|0|6|Luis Benavente Gianella|César Acuña Peralta|Neutro|2015-12
Web|El Comercio|elcomercio.pe|Dime a quién te jalas… - Patricia del Río|PPK-el moqueguano: el gringo necesita un baño de provincias. El exitoso ex gobernador de Moquegua Martín Vizcarra, que hizo de su región un ejemplo de eficiencia, le aportará a la plancha de Kuczynski ese acercamiento al interior del país que Acuña tiene por su origen y Keiko por el gobierno fujimorista de su padre. Vizcarra lo puede ayudar, además, a cosechar votos en el sur, una plaza interesante y menos cautiva que el norte.|10/12/2015|5994.53||0||Patricia del Río Labarthe|César Acuña Peralta|Neutro|2015-12
Medio Impreso|Diario Uno|Diario Uno|Favoritos de las encuestas marcados por la corrupción|Keiko, PPK, García Acuña y Toledo tienen algún caso de corrupción pendiente con la justicia advierte exprocurador Julio Arbizu. Todos los candidatos que se perfilan en los primeros lugares de las encuestas tienen que responder por algún caso relacionado con la corrupción y es lamentable que la gente se esté acostumbrando a convivir con ella. dijo el exprocurador Julio Arbizu al comentar una reciente encuesta que sostiene que el 78% de los peruanos son tolerantes con la corrupción.(...) En Cade todos hicieron refrencias tangenciales y creo que eso evidencia una orfandad de ideas y de trabajo de los partidos para enfrentar este problema comentó,|11/12/2015|4804.6|387.92|0|7|Julio Arbizu González|César Acuña Peralta|Negativo|2015-12
Medio Impreso|Del País|Del País|El periodismo frente a Acuña - Iván Arenas|La subida en las encuestas del candidato de Alianza Para el Progreso (APP) César Acuña, ha originado que de pronto tirios y troyanas busquen interpretaciones que expliquen la sorpresa. Es comprensible que ante el avance del candidato apepista politólogos y analistas se hayan lanzado a analizar sus fortalezas y debilidades. La lógica democrática impone que quien pretende ser el mandatario de la república no puede eludir el escrutinio público.|03/12/2015|1107.15|275.26|0|5|Iván Arenas|César Acuña Peralta|Negativo|2015-12
Web|Perú.com|peru.com|Nadine Heredia: ""alianza entre APRA y PPC es un sancochado""|La primera dama, Nadine Heredia, comentó que la coalición política entre el Partido Aprista Peruano (APRA) y el Partido Popular Cristiano (PPC) le parece un “sancochado”...“Estamos en un periodo en donde lo que interesa es pasar la valla electoral para muchos partidos; y al país y a todos los ciudadanos nos tienen en ascuas (…) Esperamos que con la participación del nacionalismo en las elecciones esto mejore. (…) Esto es un sancochado”, dijo Heredia a la prensa...Asimismo, la también presidenta del Partido Nacionalista Peruano se pronunció sobre la posible inclusión de la vicepresidenta Marisol Espinoza en la plancha presidencial de César Acuña, candidato presidencial por Alianza Para el Progreso (APP).|18/12/2015|1975.45||0||Nadine Heredia Alarcón|César Acuña Peralta|Negativo|2015-12
Televisión|Canal N|N Portada|Congresistas Abugattás y Salgado opinaron sobre anunciadas alianzas con miras a elecciones del 2016 (Canal N)|El Partido Aprista se aliará con el Partido Popular Cristiano y Vamos Perú para las elecciones del 2016. El líder aprista Alan García dijo querer que Lourdes Flores integre su plancha. Por su parte, Alianza Para el Progreso irá en alianza con Somos Perú y Restauración Nacional. .La congresista de Fuerza Popular Luz Salgado dijo que no hay objetivos programáticos e ideológicos que unan al Apra con el PPC y que la finalidad de esta última agrupación es salvar la valla electoral. Refiriéndose a la situación del Partido Nacionalista, la congresista fujimorista dijo que los ministros de Economía y Trabajo no se pronuncian ante la situación difícil en el plano económico..Por su parte, el congresista nacionalista Daniel Abugattás señaló que las alianzas políticas desinstitucionalizan la política. En otro momento, señaló que la alianza entre el PPC y el Apra consolidaría la posición de estos partidos como de “extrema derecha”. .Durante el diálogo, la congresista Luz Salgado se refirió a las conversaciones para alianzas que habría sostenido Somos Perú con Pedro Pablo Kuczynski y con César Acuña. También comentó que Lourdes Flores fue maltratada por Alan García y que a muchos pepecistas no les debe gustar la alianza que se anuncia. Por su parte, Abugattás afirmó que Keiko Fujimori se ha “robado” varias de las propuestas del plan de la Gran Transformación y añadió que César Acuña quedaría como el “candidato del pueblo”. Al final del diálogo se presentaron caricaturas políticas sobre César Acuña, Keiko Fujimori, Alan García, Alejandro Toledo.|11/12/2015|14224||1016||Luz Filomena Salgado Rubianes|César Acuña Peralta|Neutro|2015-12
Televisión|TV Perú 7.3|Tv Perú Noticias |Luis Iberico: APP actuará con transparencia (Canal 7.3)|Luis Iberico señaló que Alianza Para el Progreso actuará con transparencia en el caso de los aportantes fantasma. También se refirió a la carta del expresidente Alberto Fujimori en la que recomienda considerar a sus congresistas históricas en la lista parlamentaria de su hija Keiko Fujimori. Sobre el presunto uso de la universidad en la campaña política dijo que han presentado su descargo ante el JEE. Estas declaraciones las brindó luego de la ceremonia en la que tanto él, como el presidente del Poder Judicial, Víctor Ticona, fueron condecorados con la medalla de justicia militar en el grado de gran oficial en el marco del Día de la Justicia Militar Policial.|19/12/2015|618.8||140||Luis Carlos Antonio Iberico Nuñez|César Acuña Peralta|Positivo|2015-12
Medio Impreso|Correo|Correo|Esta campaña recién empieza - Iván Slocovich Pardo|Los resultados de la encuesta presentada por GFK el domingo en La República dejan en dato que la campaña recién empieza y que nada está dicho, pues si bien Keiko Fujimori (32%) se mantiene sólida en la punta, el segundo lugar está casi casi empatado entre Pedro Pablo Kuczynski (9%), César Acuña (7%) y Alan García (6%), quienes tendrán que pensar mucho antes de hacer y decir algo, pues el pase a segunda vuelta podría estar para cualquiera de ellos. Tendría que suceder una debacle para que Keiko Fujimori no pase a la segunda vuelta. Es cierto que en nuestro país nunca se sabe. Recordemos que hace cinco años los punteros en diciembre del 2010 eran Alejandro Toledo y Luis Castañeda; y que Ollanta Humala aparecía quinto.|01/12/2015|1951.05|204.28|0|11|Iván Slocovich Pardo|César Acuña Peralta|Neutro|2015-12
